quarter,company,capex_bil_usd,source
2024Q1,Google / Alphabet,12.012,SEC companyfacts
2024Q1,Meta,6.4,SEC companyfacts
2024Q1,Microsoft,10.952,SEC companyfacts
2024Q2,Amazon,17.62,SEC companyfacts
2024Q3,Amazon,22.62,SEC companyfacts
2024Q3,Microsoft,14.923,SEC companyfacts
2024Q4,Microsoft,15.804,SEC companyfacts
2025Q1,Amazon,25.019,SEC companyfacts
2025Q1,Google / Alphabet,17.197,SEC companyfacts
2025Q1,Meta,12.941,SEC companyfacts
2025Q1,Microsoft,16.745,SEC companyfacts
2025Q2,Amazon,32.183,SEC companyfacts
2025Q3,Amazon,35.095,SEC companyfacts
2025Q3,Microsoft,19.394,SEC companyfacts
2025Q4,Microsoft,29.876,SEC companyfacts
2026Q1,Amazon,44.203,SEC companyfacts
2026Q1,Google / Alphabet,35.674,SEC companyfacts
2026Q1,Meta,18.997,SEC companyfacts
2026Q1,Microsoft,30.876,SEC companyfacts
