candidate_key,n_x,start_k,end_l,combo_key,indicator_set_key,stage_sources,rank_types,source_row_count,min_display_rank,final_asset_10y,total_mdd_10y,risk_off_share_10y,cycle_count_10y,short_cycle_count_10y,short_cycle_ratio_10y,average_cycle_days_10y,final_asset_20y,total_mdd_20y,risk_off_share_20y,cycle_count_20y,short_cycle_count_20y,short_cycle_ratio_20y,average_cycle_days_20y,buyhold_final_asset_10y,buyhold_mdd_10y,mdd_improve_10y,risk_off_efficiency_10y,buyhold_final_asset_20y,buyhold_mdd_20y,mdd_improve_20y,risk_off_efficiency_20y,return_percentile_10y,return_percentile_20y,mdd_percentile_10y,mdd_percentile_20y,efficiency_percentile_10y,efficiency_percentile_20y,return_score,mdd_defense_score,consistency_score,risk_off_efficiency_score,composite_score,practical_basic_flag,practical_return_flag,practical_mdd_flag,practical_stable_flag,strict_stability_flag,global_composite_rank,global_return_rank,global_mdd_rank,global_stable_composite_rank,signal_hash,date_start,date_end,row_count,risk_off_days,minimum_filter_fail_reasons,fail_basic_flag,fail_cycle_count,fail_risk_off_share,fail_absolute_mdd,fail_20y_buyhold_performance,fail_mdd_improvement,minimum_filter_fail_count,passed_minimum_performance_filter,selection_pipeline,selection_label,selection_order,n_y,t1_final_asset_10y,t2_final_asset_10y,t1_total_mdd_10y,t2_total_mdd_10y,asset_retention_t2_vs_t1_10y,mdd_deterioration_t2_vs_t1_10y,t1_final_asset_20y,t2_final_asset_20y,t1_total_mdd_20y,t2_total_mdd_20y,asset_retention_t2_vs_t1_20y,mdd_deterioration_t2_vs_t1_20y,t2_status,asset_retention_vs_0bp_10y_0bp,asset_retention_vs_0bp_10y_5bp,asset_retention_vs_0bp_10y_10bp,asset_retention_vs_0bp_10y_20bp,asset_retention_vs_0bp_20y_0bp,asset_retention_vs_0bp_20y_5bp,asset_retention_vs_0bp_20y_10bp,asset_retention_vs_0bp_20y_20bp,final_asset_10y_0bp,final_asset_10y_5bp,final_asset_10y_10bp,final_asset_10y_20bp,final_asset_20y_0bp,final_asset_20y_5bp,final_asset_20y_10bp,final_asset_20y_20bp,positive_period_ratio,bh_outperform_period_ratio,mdd_improve_period_ratio,worst_period_excess_cagr,worst_period_mdd,period_cagr_std,period_mdd_std,crisis_v1_detection_ratio,crisis_v1_mdd_improve_ratio,crisis_v1_total_downside_avoided,crisis_v1_total_rebound_missed,crisis_v2_detection_ratio,crisis_v2_mdd_improve_ratio,crisis_v2_total_downside_avoided,crisis_v2_total_rebound_missed,pre_peak_risk_off_ratio,valid_neighbor_count,neighbor_pass_ratio,neighbor_final_asset_20y_median,neighbor_mdd_20y_median,kl_validation_level,t2_score,cost_score,period_score,crisis_score_v2,robustness_score_v2,hard_fail_t2,t2_warning,hard_fail_cost,hard_fail_period,hard_fail_crisis,hard_fail_kl_reference,hard_fail_count_v2,required_validation_status,missing_validation,robustness_status_v2,official_rank_v2,final_grade,final_grade_reason,dashboard_review_class,selected_for_dashboard_review,selection_status,user_review_required,official_operating_model,candidate_family,suggested_role,combo2_id_x,m,component_keys,search_scope,source_stage,combo2_id_y
combo1_proxy_540347d549244000,4,3,2,10Y Real Yield=EMA5_W60_S62_E25|Credit Stress=EMA4_W240_S28_E25|VIX=EMA10_W45_S20_E5|VIX Spread=EMA5_W120_S86_E40|start_k=3|end_l=2,10Y Real Yield + Credit Stress + VIX + VIX Spread,Stage A,composite,2.0,20.0,589.2066957803158,-0.11681797949714912,0.1918026263430163,22,11,0.5,21.90909090909091,2208.4968139733537,-0.1790468147320855,0.1852882703777336,44,20,0.45454545454545453,21.181818181818183,350.23996883972313,-0.33924960002653304,0.22243162052938392,1.159690170934319,609.8260976898191,-0.5677538774277293,0.3887070626956438,2.0978503490977345,0.7252800779347297,0.8392596200681929,0.7004383828543594,0.6587920116902094,0.48904042864101316,0.5289819775937652,0.7936678032148077,0.6754505601558694,0.9221870433511934,0.5130053580126643,0.7435034096444227,True,True,True,False,False,27.0,415.0,445.0,,bd26c49eada65725c2d34639d8c29e6d88714d79726c97faeedf415fcc9343ba,2006-07-14,2026-07-14,5030,932,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,22,4,589.2066957803158,517.5539217881268,-0.11681797949714912,-0.13201236971626074,0.8783911070506494,0.01519439021911162,2208.4968139733537,1995.9718959092659,-0.1790468147320855,-0.1790468147320854,0.9037694251042501,-1.1102230246251565e-16,GOOD,1.0,0.9782348529506094,0.9569328906720136,0.9156801857106622,1.0,0.9569434275273058,0.9157205572498933,0.8384702025031173,589.2066957803158,576.3825254041717,563.8312665963633,539.5248966140853,2208.4968139733537,2113.4065108467958,2022.3659331762935,1851.7587708397273,1.0,1.0,1.0,0.060513702379547674,-0.1790468147320855,0.02530068735026377,0.03592783477424736,1.0,1.0,1.096936109601265,0.3308915251830099,1.0,1.0,1.096936109601265,0.3308915251830099,0.16666666666666666,10,0.4,822.8839266771731,-0.1864646177278349,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.7977272727272727,0.4090909090909091,0.5954545454545455,0.7732954545454547,0.670625,False,False,False,False,False,True,0,COMPLETE,,CORE,1,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,수익·시장참여율형,,,,,,
combo1_proxy_73339a2c5c6ada4c,4,3,2,10Y Nominal Yield Slope=SW15_EMA5_W120_S82_E40|10Y Real Yield=EMA5_W60_S62_E25|Credit Stress=EMA4_W240_S28_E25|VIX Spread=EMA5_W120_S86_E40|start_k=3|end_l=2,10Y Nominal Yield Slope + 10Y Real Yield + Credit Stress + VIX Spread,Stage A,stable,1.0,23.0,585.8414212143664,-0.10276617093291407,0.2502984480700358,30,10,0.3333333333333333,20.966666666666665,2076.7852975840624,-0.1829950255924706,0.23399602385685886,53,16,0.3018867924528302,22.20754716981132,350.23996883972313,-0.33924960002653304,0.23648342909361897,0.9448058144869069,609.8260976898191,-0.5677538774277293,0.3847588518352587,1.6442965375797376,0.7199220652703361,0.7993180711154408,0.7679006332196785,0.6293229420360448,0.3653190452995616,0.38236726741354116,0.7675596687773989,0.6847540185094982,0.8910131514856308,0.3755479785679493,0.7178945445689234,True,True,True,False,False,70.0,466.0,427.0,,9f482bccf1c83e418551d0ae5b97aafd645588eec629bb6bde8b2af43f4e865c,2006-07-14,2026-07-14,5030,1177,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,43,4,585.8414212143664,542.7377115754973,-0.10276617093291407,-0.10276617093291351,0.9264242710091731,-5.551115123125783e-16,2076.7852975840624,1938.983565823107,-0.1829950255924706,-0.17904681473208528,0.9336466162769638,-0.003948210860385326,GOOD,1.0,0.9704382528072941,0.9417362622231675,0.8868138705469137,1.0,0.9483674423401888,0.899376948030957,0.8087929862660562,585.8414212143664,568.5229252254118,551.7081102699257,519.5322982738171,2076.7852975840624,1969.555560959505,1867.812822656717,1679.689382666454,1.0,1.0,1.0,0.059830051610141766,-0.1829950255924706,0.028017966503896985,0.046320150834470386,1.0,1.0,1.0492758984052004,0.24828947045352423,1.0,1.0,1.0492758984052004,0.24828947045352423,0.0,10,0.3,943.6981740094791,-0.19038856497464524,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.9193181818181817,0.12045454545454545,0.5727272727272728,0.7619318181818182,0.6535795454545456,False,False,False,False,False,True,0,COMPLETE,,CORE,2,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,T+2 안정형,,,,,,
combo1_proxy_908d1ca5a74ada5d,8,4,3,Index=EMA20_W90_S35_E18|IG=EMA80_W180_S42_E14|Credit Stress=EMA4_W240_S28_E25|10Y Real Yield=EMA8_W30_S50_E10|10Y-2Y Spread=EMA1_W480_S35_E25|10Y-3M Spread=EMA10_W360_S62_E40|10Y Nominal Yield Slope=SW12_EMA3_W480_S82_E32|Bollinger Band=BBW18_STD2p75|start_k=4|end_l=3,Index + IG + Credit Stress + 10Y Real Yield + 10Y-2Y Spread + 10Y-3M Spread + 10Y Nominal Yield Slope + Bollinger Band,Stage B,composite,2.0,2.0,548.3365822804441,-0.10174526704981679,0.2001591723040191,18,8,0.4444444444444444,27.944444444444443,1845.3979817051477,-0.12267520581213875,0.28807157057654076,39,16,0.41025641025641024,37.15384615384615,350.23996883972313,-0.33924960002653304,0.23750433297671625,1.1865773136590216,609.8260976898191,-0.5677538774277293,0.44507867161559056,1.545028100915404,0.6332196785192401,0.7218704335119338,0.8278129566488066,0.9035557720409158,0.509985387238188,0.3594739405747686,0.6864101315148563,0.8732586458840721,0.9178032148075985,0.4196785192401363,0.7598429128105212,True,True,True,False,False,14.0,621.0,135.0,,922866190f33674a37b8de93d1fd13957d30804a57c1001440783590b9595266,2006-07-14,2026-07-14,5030,1449,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,12,8,548.3365822804441,500.96469595576923,-0.10174526704981679,-0.10174526704981735,0.9136080140273284,5.551115123125783e-16,1845.3979817051477,1492.595857173116,-0.12267520581213875,-0.13168405776929337,0.8088205752744768,0.009008851957154618,WATCH,1.0,0.9826479351373839,0.9655885070369883,0.9323284674748032,1.0,0.9622224402159494,0.9258541837518942,0.8571398350214158,548.3365822804441,538.8218103381686,529.4675018379387,511.22980541789775,1845.3979817051477,1775.6833491259151,1708.5694420490124,1581.764121587604,1.0,1.0,1.0,0.05196190032780135,-0.12267520581213875,0.02706516639984076,0.012083905778549064,0.8333333333333334,1.0,1.146046345145415,0.6529104591070117,1.0,1.0,1.146046345145415,0.6529104591070117,0.3333333333333333,15,0.5333333333333333,904.6094366158828,-0.19778210435681998,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.6522727272727272,0.5227272727272727,0.5818181818181818,0.7363636363636364,0.6363636363636364,False,True,False,False,False,True,0,COMPLETE,,CORE,3,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,MDD 방어형,,,,,,
combo1_proxy_117732350a3ac6f6,4,3,2,10Y Nominal Yield Slope=SW12_EMA3_W480_S82_E32|10Y-3M Spread=EMA20_W105_S62_E32|Credit Stress=EMA4_W240_S28_E25|VIX Spread=EMA5_W120_S86_E40|start_k=3|end_l=2,10Y Nominal Yield Slope + 10Y-3M Spread + Credit Stress + VIX Spread,Stage A,composite,2.0,9.0,561.2008448870309,-0.10276617093291407,0.1416633505769996,19,9,0.47368421052631576,18.736842105263158,2180.2938318190736,-0.17514520561745062,0.1848906560636183,46,19,0.41304347826086957,20.217391304347824,350.23996883972313,-0.33924960002653304,0.23648342909361897,1.6693338688546755,609.8260976898191,-0.5677538774277293,0.3926086718102787,2.1234641066727975,0.6692644909887969,0.8280565026790063,0.7679006332196785,0.7104237700925475,0.7929858743302484,0.54164637116415,0.7645396980029225,0.7334145153434,0.8918655625913299,0.6421821724305894,0.7605090112031174,True,True,True,False,False,13.0,475.0,340.0,,b7054f063d1337c85da6ab11efd12f15c0282fe5e95b32c48ffe239ac305ed9a,2006-07-14,2026-07-14,5030,930,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,11,4,561.2008448870309,575.5080694438393,-0.10276617093291407,-0.11974843221548648,1.0254939469303337,0.01698226128257241,2180.2938318190736,1798.935457145796,-0.17514520561745062,-0.18499913523495637,0.825088541228821,0.009853929617505752,WATCH,1.0,0.9816655328642316,0.9636582956114217,0.9286028829187755,1.0,0.9555087299739672,0.9129761418241015,0.833449436222764,561.2008448870309,550.9115264398843,540.8058496795261,521.1327224585494,2180.2938318190736,2083.2897902115174,1990.5562506170643,1817.1646649295767,1.0,1.0,1.0,0.05471382784740508,-0.17514520561745062,0.02055259067447852,0.04178805515880247,1.0,1.0,0.959426198220557,0.29681047766090385,1.0,1.0,0.959426198220557,0.29681047766090385,0.16666666666666666,10,0.3,799.0517044093144,-0.1750616871525314,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.7136363636363636,0.3409090909090909,0.6,0.7267045454545454,0.6348295454545454,False,True,False,False,False,True,0,COMPLETE,,CORE,4,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,Main 균형형,,,,,,
combo1_proxy_f37033c32516e147,7,4,3,Index=EMA20_W90_S35_E18|IG=EMA80_W180_S42_E14|Credit Stress=EMA4_W240_S28_E25|10Y Real Yield=EMA8_W30_S50_E10|10Y-2Y Spread=EMA1_W480_S35_E25|10Y-3M Spread=EMA10_W360_S62_E40|10Y Nominal Yield Slope=SW12_EMA3_W480_S82_E32|start_k=4|end_l=3,Index + IG + Credit Stress + 10Y Real Yield + 10Y-2Y Spread + 10Y-3M Spread + 10Y Nominal Yield Slope,Stage B,composite,2.0,1.0,564.6997866924378,-0.10174526704981623,0.18981297254277757,17,6,0.35294117647058826,28.058823529411764,1951.2891850344824,-0.12267520581213875,0.27335984095427435,38,13,0.34210526315789475,36.18421052631579,350.23996883972313,-0.33924960002653304,0.2375043329767168,1.251254483795575,609.8260976898191,-0.5677538774277293,0.44507867161559056,1.6281787041646696,0.6829030686799805,0.7593765221626887,0.8314661471018022,0.9035557720409158,0.5499269361909401,0.37652216268874816,0.7287871407696054,0.8747199220652704,0.9257184607890891,0.44588407208962494,0.7811130053580126,True,True,True,False,False,2.0,542.0,132.0,,5050a7d3eca501809c1fb8253194fab7dfa21e550dd8acff3e170362a9a45b5a,2006-07-14,2026-07-14,5030,1375,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,2,7,564.6997866924378,510.5265718359102,-0.10174526704981623,-0.10174526704981723,0.9040672298216523,9.992007221626409e-16,1951.2891850344824,1559.7573175097577,-0.12267520581213875,-0.13168405776929337,0.7993470826735476,0.009008851957154618,WATCH,1.0,0.9836313205501013,0.9675225846837701,0.9360689991955894,1.0,0.9631853848044037,0.9277086733900081,0.8605787075367319,564.6997866924378,555.4563968986431,546.359797191041,528.597964175153,1951.2891850344824,1879.4532245521093,1810.2279012486097,1679.2379248873779,1.0,1.0,1.0,0.055452498740912626,-0.12267520581213875,0.027308458702624244,0.012083905778549255,1.0,1.0,1.1460463451454148,0.6529104591070117,1.0,1.0,1.1460463451454148,0.6529104591070117,0.3333333333333333,15,0.4666666666666667,878.4529782098721,-0.19778210435681987,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.5954545454545455,0.5681818181818182,0.5772727272727273,0.7318181818181819,0.6263636363636365,False,True,False,False,False,True,0,COMPLETE,,CORE,5,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,MDD 방어형,,,,,,
combo1_proxy_95c94ece030797ac,4,3,1,10Y-2Y Spread=EMA20_W240_S75_E40|10Y-3M Spread=EMA20_W105_S62_E32|HY=EMA1_W60_S20_E18|IG=EMA8_W180_S20_E8|start_k=3|end_l=1,10Y-2Y Spread + 10Y-3M Spread + HY + IG,Stage A,stable,1.0,41.0,562.1049237110319,-0.10276617093291385,0.301233585356148,10,0,0.0,75.7,1748.7300686206186,-0.1416075044464047,0.3137176938369781,18,2,0.1111111111111111,87.66666666666667,350.23996883972313,-0.33924960002653304,0.2364834290936192,0.7850500096595311,609.8260976898191,-0.5677538774277293,0.42614637298132463,1.3583753207199385,0.6751095957135899,0.674135411592791,0.7834875791524598,0.7903068679980516,0.29761324890404284,0.30832927423283,0.6745250852411105,0.7875791524598148,0.9961032635168047,0.30404286410131515,0.7252825133950316,True,True,True,True,False,54.0,636.0,255.0,3.0,ff27ce03f12939e2a59d7e7a0b77e3559f89a7cc30b0fc2a72536375441d649e,2006-07-14,2026-07-14,5030,1578,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,35,4,562.1049237110319,494.18030955477417,-0.10276617093291385,-0.10276617093291396,0.8791602576475979,1.1102230246251565e-16,1748.7300686206186,1417.0858155390895,-0.1416075044464047,-0.14160750444640524,0.8103513749591286,5.551115123125783e-16,WATCH,1.0,0.9900473578023257,0.9801888648295308,0.96075095702634,1.0,0.9821566111698192,0.964622918529949,0.9304638105398555,562.1049237110319,556.510494527785,550.9689870874064,540.0428434045917,1748.7300686206186,1717.5267980471922,1686.865102513899,1627.1300432543637,1.0,1.0,1.0,0.05490508660436899,-0.1416075044464047,0.03272102698644194,0.022425054359698292,0.3333333333333333,0.8333333333333334,1.324594922108879,0.7775555733872949,0.8333333333333334,0.8333333333333334,1.324594922108879,0.7775555733872949,0.5,10,0.2,765.2808107858801,-0.1696948044016125,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.7079545454545455,1.0,0.5409090909090909,0.5198863636363636,0.6139204545454545,False,True,False,False,False,True,0,COMPLETE,,CORE,6,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,Main 균형형,,,,,,
combo1_proxy_08160f7db8770aa9,9,5,4,Index=EMA20_W90_S35_E18|HY=EMA5_W60_S69_E25|IG=EMA80_W180_S42_E14|Credit Stress=EMA4_W240_S28_E25|VIX Spread=EMA5_W120_S86_E40|10Y Real Yield=EMA8_W30_S50_E10|10Y-2Y Spread=EMA1_W480_S35_E25|10Y Nominal Yield Slope=SW18_EMA10_W480_S90_E40|Bollinger Band=BBW18_STD2p75|start_k=5|end_l=4,Index + HY + IG + Credit Stress + VIX Spread + 10Y Real Yield + 10Y-2Y Spread + 10Y Nominal Yield Slope + Bollinger Band,Stage B,composite,2.0,1.0,545.0465912394177,-0.12336938911167183,0.13808197373656983,20,8,0.4,17.35,1842.3102114184576,-0.13443706553701162,0.1978131212723658,39,14,0.358974358974359,25.512820512820515,350.23996883972313,-0.33924960002653304,0.2158802109148612,1.5634206629079141,609.8260976898191,-0.5677538774277293,0.4333168118907177,2.1905362450354873,0.6239649293716513,0.7204091573307355,0.6814417924987822,0.8246468582562104,0.7476863127131028,0.5698977106673161,0.6818314661471018,0.7673648319532391,0.8801753531417438,0.6410131514856308,0.737437895762299,True,True,True,False,False,43.0,630.0,278.0,,3a1b0f7506caefb8355c97d81be34253e47869ee522559de3c46c26fc777b059,2006-07-14,2026-07-14,5030,995,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,33,9,545.0465912394177,484.0806961680803,-0.12336938911167183,-0.16818304509715754,0.8881455346180535,0.0448136559854857,1842.3102114184576,1644.6730812388093,-0.13443706553701162,-0.17674568463706264,0.8927232075495686,0.042308619100051015,GOOD,1.0,0.9801937706913769,0.9607702107358147,0.9230424014270336,1.0,0.9617413289958352,0.9249283295681408,0.8554255553513673,545.0465912394177,534.2512734694465,523.6645283259328,503.1011144672509,1842.3102114184576,1771.8258711521855,1704.0049063936021,1575.959235732129,1.0,1.0,1.0,0.05124877807130512,-0.13443706553701162,0.026487600715150123,0.0063899259634736345,1.0,1.0,1.0434166838740113,0.5711959211960785,1.0,1.0,1.0434166838740113,0.5711959211960785,0.16666666666666666,15,0.4,922.842800306882,-0.21006485637585004,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.5727272727272728,0.5,0.5863636363636363,0.7130681818181818,0.6130113636363637,False,False,False,False,False,True,0,COMPLETE,,CORE,7,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,MDD 방어형,,,,,,
combo1_proxy_c3a64264c2e842f5,8,5,4,Index=EMA9_W90_S35_E25|HY=EMA5_W60_S69_E25|Credit Stress=EMA4_W240_S28_E25|VIX=EMA80_W360_S28_E10|VIX Spread=EMA5_W120_S86_E40|10Y Real Yield=EMA8_W30_S50_E10|10Y-2Y Spread=EMA1_W480_S35_E25|10Y Nominal Yield Slope=SW18_EMA10_W480_S90_E40|start_k=5|end_l=4,Index + HY + Credit Stress + VIX + VIX Spread + 10Y Real Yield + 10Y-2Y Spread + 10Y Nominal Yield Slope,Stage B,composite,2.0,10.0,560.6788620340141,-0.1304809812940687,0.12892956625547156,15,5,0.3333333333333333,21.6,1810.0379053703539,-0.17904681473208517,0.15745526838966203,33,14,0.42424242424242425,24.0,350.23996883972313,-0.33924960002653304,0.20876861873246433,1.6192454903539593,609.8260976898191,-0.5677538774277293,0.38870706269564415,2.4686824815140023,0.6678032148075986,0.7082318558207501,0.6346809547004384,0.6763273258645884,0.7727715538236727,0.660009741841208,0.6920603994154895,0.6596687773989285,0.9589624939113492,0.7051144666341939,0.7220640526059424,True,True,True,False,False,59.0,612.0,477.0,,e7768daf19f0bedef34b767830502d0b847a0764357ea15c15a0947b472adc0c,2006-07-14,2026-07-14,5030,792,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,37,8,560.6788620340141,541.971639571192,-0.1304809812940687,-0.13048098129406893,0.9666346928169245,2.220446049250313e-16,1810.0379053703539,1654.563580980771,-0.17904681473208517,-0.18946750534450885,0.9141043820528326,0.010420690612423678,GOOD,1.0,0.9851082442083698,0.9704309672630851,0.9417079539575492,1.0,0.9675305747671381,0.9360999518731572,0.8762251712550293,560.6788620340141,552.3293693430744,544.1001304076341,527.9957439932984,1810.0379053703539,1751.2670149332853,1694.3763961057784,1586.000773611233,1.0,1.0,1.0,0.054603275555655584,-0.17904681473208517,0.030582763060732203,0.028039497008857262,0.8333333333333334,0.8333333333333334,0.9774959737764815,0.5990702703637433,0.8333333333333334,0.8333333333333334,0.9774959737764815,0.5990702703637433,0.3333333333333333,15,0.4,1194.1473650751448,-0.20422159701860987,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.7613636363636364,0.75,0.5681818181818181,0.4630681818181818,0.5934659090909091,False,False,False,False,False,False,0,COMPLETE,,CORE,8,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,T+2 안정형,,,,,,
combo1_proxy_ece4aa198a4060ff,4,3,2,10Y Nominal Yield Slope=SW15_EMA5_W120_S82_E40|10Y Real Yield=EMA5_W60_S62_E25|VIX=EMA80_W360_S28_E5|VIX Spread=EMA5_W120_S86_E40|start_k=3|end_l=2,10Y Nominal Yield Slope + 10Y Real Yield + VIX + VIX Spread,Stage A,composite,1.0,26.0,669.147898854799,-0.10276617093291407,0.23438121766812575,30,9,0.3,19.633333333333333,2518.321584922882,-0.1790468147320855,0.18846918489065606,53,17,0.32075471698113206,17.88679245283019,350.23996883972313,-0.33924960002653304,0.23648342909361897,1.0089691974741333,609.8260976898191,-0.5677538774277293,0.3887070626956438,2.062443592150937,0.861665854846566,0.9279103750608865,0.7679006332196785,0.6587920116902094,0.39746712128592304,0.5148563078421822,0.9014125669751583,0.7024354603019971,0.9123234291281053,0.4679006332196785,0.7900560155869459,True,True,True,False,False,1.0,190.0,401.0,,392dcdb229734aa2786c6582a448335bb9d0efd0e25bc0c0f798a1053172aa8b,2006-07-14,2026-07-14,5030,948,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,1,4,669.147898854799,624.96445988281,-0.10276617093291407,-0.10276617093291351,0.9339705929771193,-5.551115123125783e-16,2518.321584922882,2006.5650324388528,-0.1790468147320855,-0.1850078383323619,0.7967866552278705,0.005961023600276394,WATCH,1.0,0.9704382528072979,0.9417362622231717,0.886813870546914,1.0,0.9483674423401954,0.8993769480309612,0.8087929862660612,669.147898854799,649.3667178343256,630.1608411420074,593.4096381517592,2518.321584922882,2388.294200483421,2264.9203812084347,2036.800835048058,1.0,1.0,1.0,0.07580029919088305,-0.1790468147320855,0.03241508020684234,0.04404065023140997,1.0,1.0,1.0124854799815566,0.23762029540086826,1.0,1.0,1.0124854799815566,0.23762029540086826,0.0,10,0.4,838.2993707010162,-0.20679767295226642,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.6204545454545454,0.1590909090909091,0.5454545454545454,0.7534090909090909,0.5842045454545455,False,True,False,False,False,True,0,COMPLETE,,CORE,9,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,수익·시장참여율형,,,,,,
combo1_proxy_9b1ad0f3bb2e793b,4,3,2,10Y Nominal Yield Slope=SW15_EMA5_W120_S82_E40|10Y Real Yield=EMA5_W60_S62_E25|VIX=EMA80_W360_S28_E10|VIX Spread=EMA5_W120_S86_E40|start_k=3|end_l=2,10Y Nominal Yield Slope + 10Y Real Yield + VIX + VIX Spread,Stage A,stable,2.0,20.0,623.0977946310253,-0.1027661709329144,0.24154397134898528,30,8,0.26666666666666666,20.233333333333334,2242.0532271533193,-0.18340007311379936,0.21530815109343937,52,14,0.2692307692307692,20.826923076923077,350.23996883972313,-0.33924960002653304,0.23648342909361864,0.9790491883233338,609.8260976898191,-0.5677538774277293,0.38435380431392996,1.785133550968668,0.7803214807598636,0.8470530930345835,0.7620555284948856,0.6288358499756453,0.38236726741354116,0.4203604481246956,0.8203604481246956,0.6821237213833414,0.90002435460302,0.4051631758402338,0.7424074525085241,True,True,True,True,False,31.0,365.0,433.0,1.0,c812de2efd137c86b177cc3c8769607a4fafdcb3be3f529798ab9f603ca24638,2006-07-14,2026-07-14,5030,1083,,False,False,False,False,False,False,0,True,performance_first,combo1_performance_first_robustness44,24,4,623.0977946310253,577.8558339905636,-0.1027661709329144,-0.10276617093291363,0.9273918780803064,-7.771561172376096e-16,2242.0532271533193,1964.9184894002121,-0.18340007311379936,-0.1845093046631624,0.8763924360060896,0.0011092315493630434,GOOD,1.0,0.970438252807298,0.9417362622231696,0.8868138705469172,1.0,0.9493165215325976,0.901178403659873,0.812037889673197,623.0977946310253,604.6779351498128,586.793788115322,552.5717669859877,2242.0532271533193,2128.418170692124,2020.489948166495,1820.6321711125624,1.0,1.0,1.0,0.06720938044432878,-0.18340007311379936,0.030746525666062535,0.046554005129944044,1.0,0.8333333333333334,0.972624904326093,0.23762029540086826,1.0,0.8333333333333334,0.972624904326093,0.23762029540086826,0.0,10,0.6,906.1329554341112,-0.1897250783355489,ACTIVE_COUNT_RECOMPUTED_FROM_PROXY_DAILY,0.775,0.2272727272727273,0.5636363636363636,0.6034090909090909,0.5842045454545455,False,False,False,False,False,True,0,COMPLETE,,CORE,10,A,"Hard fail 없음, 실전 검토 가능 수준",FINAL_REVIEW,True,PROVISIONAL,True,False,combo1,수익·시장참여율형,,,,,,
