candidate_id,indicator_id,kind,source_column,source_series_id,param_id,valid_start,valid_end
kospi_rsi__RSI56_LB80_Q10_70__88bfbe25d8a6,kospi_rsi,rsi,kospi_close,kospi_rsi,RSI56_LB80_Q10_70,1997-05-02,2026-07-28
kospi_rsi__RSI56_LB80_Q10_90__f2cc9b35b7d4,kospi_rsi,rsi,kospi_close,kospi_rsi,RSI56_LB80_Q10_90,1997-05-02,2026-07-28
kospi_bollinger__BBW40_STD1p5__11c5b83d0a43,kospi_bollinger,bollinger,kospi_ohlc,kospi_bollinger,BBW40_STD1p5,1997-02-12,2026-07-28
kospi_bollinger__BBW40_STD2p0__969923a71f91,kospi_bollinger,bollinger,kospi_ohlc,kospi_bollinger,BBW40_STD2p0,1997-02-12,2026-07-28
kospi_bollinger__BBW80_STD1p5__1396c565edce,kospi_bollinger,bollinger,kospi_ohlc,kospi_bollinger,BBW80_STD1p5,1997-04-09,2026-07-28
kospi_bollinger__BBW80_STD2p0__b0d4bab58de5,kospi_bollinger,bollinger,kospi_ohlc,kospi_bollinger,BBW80_STD2p0,1997-04-09,2026-07-28
kospi_natr_n10__NATR10_EMA80_W480_S35_E10__a45c51e4f324,kospi_natr,level,,kospi_natr_n10,NATR10_EMA80_W480_S35_E10,1998-02-24,2026-07-28
kospi_natr_n80__NATR80_EMA20_W480_S75_E40__53e1711720b6,kospi_natr,level,,kospi_natr_n80,NATR80_EMA20_W480_S75_E40,1998-04-21,2026-07-28
kospi_natr_n80__NATR80_EMA40_W480_S75_E40__c6632f67909c,kospi_natr,level,,kospi_natr_n80,NATR80_EMA40_W480_S75_E40,1998-05-07,2026-07-28
kospi_hv_n20__HV20_EMA5_W120_S50_E10__2ec36ee068a2,kospi_hv,level,,kospi_hv_n20,HV20_EMA5_W120_S50_E10,1997-04-14,2026-07-28
kospi_hv_n80__HV80_EMA10_W120_S90_E65__09d89fcd32af,kospi_hv,level,,kospi_hv_n80,HV80_EMA10_W120_S90_E65,1997-07-15,2026-07-28
kospi_hv_n80__HV80_EMA20_W480_S50_E10__bb2b7f42ca2a,kospi_hv,level,,kospi_hv_n80,HV80_EMA20_W480_S50_E10,1998-04-22,2026-07-28
