parent_candidate_id,child_order,child_canonical_parent_id,child_n,child_K,child_L,child_component_ids_key
95cff35563d9d4316b84daa8,5,n11:77409eac089451e0206e0a7b,11,6,5,snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA10_W480_S20_E10|snp__snp_natr__NATR20_EMA1_W480_S20_E10|snp__snp_rsi__RSI56_LB160_Q20_70|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_hy_oas__EMA20_W480_S50_E25|snp__us_ig_oas__EMA80_W120_S90_E10|snp__vix_spread__EMA40_W480_S90_E40
95cff35563d9d4316b84daa8,6,n11:c33523f8827a7d114f5671e8,11,6,5,snp__global_credit_stress__EMA40_W60_S50_E10|snp__snp_bollinger__BBW160_STD2p5|snp__snp_breadth__EMA1_W480_S75_E40|snp__snp_hv__HV40_EMA20_W30_S90_E65|snp__snp_index_level__EMA40_W120_S75_E65|snp__snp_rsi__RSI56_LB320_Q30_90|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S20_E10
95cff35563d9d4316b84daa8,7,n11:c78a6e5b38a4c3beabc7d99c,11,7,6,snp__global_credit_stress__EMA20_W480_S50_E40|snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA1_W480_S75_E40|snp__snp_hv__HV10_EMA40_W30_S90_E25|snp__snp_index_level__EMA40_W120_S75_E65|snp__snp_natr__NATR40_EMA10_W120_S20_E10|snp__snp_rsi__RSI56_LB320_Q20_90|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW20_EMA5_W240_S75_E40|snp__us_hy_oas__EMA10_W480_S50_E10|snp__vix_level__EMA5_W30_S90_E10
95cff35563d9d4316b84daa8,8,n11:f52ba1bb9150c58fc88cd853,11,6,5,snp__global_credit_stress__EMA40_W60_S50_E10|snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA10_W480_S35_E25|snp__snp_hv__HV40_EMA20_W30_S90_E65|snp__snp_index_level__EMA80_W60_S50_E40|snp__snp_rsi__RSI56_LB320_Q30_90|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_hy_oas__EMA10_W480_S50_E10|snp__vix_spread__EMA40_W60_S75_E10
95cff35563d9d4316b84daa8,9,n7:7ba92890bdfe767f9ad68b84,7,4,3,snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA10_W480_S20_E10|snp__snp_natr__NATR40_EMA10_W120_S20_E10|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_hy_oas__EMA10_W480_S20_E10
95cff35563d9d4316b84daa8,10,n7:ca461c8bd5bcfc888517dfeb,7,5,3,snp__global_credit_stress__EMA20_W480_S50_E40|snp__snp_hv__HV10_EMA40_W30_S90_E25|snp__snp_natr__NATR40_EMA10_W120_S20_E10|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_nominal_yield_slope__SW20_EMA5_W240_S75_E40|snp__us_10y_real_yield__EMA20_W30_S90_E40|snp__vix_level__EMA80_W120_S75_E65
95cff35563d9d4316b84daa8,11,n9:3996cb40fe87142f8d38a765,9,5,4,snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA20_W30_S90_E65|snp__snp_natr__NATR20_EMA1_W480_S20_E10|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_2y_spread__EMA40_W30_S90_E25|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA1_W240_S75_E25|snp__us_hy_oas__EMA20_W480_S50_E25
95cff35563d9d4316b84daa8,12,n9:7aa3be83ad36d69771044d62,9,5,4,snp__global_credit_stress__EMA20_W480_S50_E40|snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA80_W120_S35_E25|snp__snp_rsi__RSI56_LB160_Q10_90|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10
95cff35563d9d4316b84daa8,13,n9:7bd8b8bb7e4baec99ac9ee4f,9,5,4,snp__global_credit_stress__EMA20_W480_S50_E40|snp__snp_bollinger__BBW80_STD2p5|snp__snp_breadth__EMA80_W120_S35_E25|snp__snp_rsi__RSI56_LB160_Q20_70|snp__us_10y_2y_spread__EMA40_W30_S90_E65|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_hy_oas__EMA10_W480_S50_E10
acaaf10f62992f86ad7dbe3a,1,n10:0a5ede9f15901b609980c7d5,10,6,5,snp__snp_bollinger__BBW80_STD2p5|snp__snp_hv__HV40_EMA20_W30_S75_E65|snp__snp_index_level__EMA40_W120_S75_E65|snp__snp_natr__NATR20_EMA1_W480_S20_E10|snp__snp_rsi__RSI56_LB160_Q20_70|snp__us_10y_2y_spread__EMA40_W30_S90_E25|snp__us_10y_3m_spread__EMA20_W60_S90_E65|snp__us_10y_nominal_yield_slope__SW80_EMA5_W120_S90_E65|snp__us_10y_real_yield__EMA5_W240_S75_E25|snp__us_ig_oas__EMA80_W120_S90_E80
